NaCl_Percent,Target_Temp,Rep,Mercury_Temp,Temp_M02,EC_M02
0.3,25,1,25,2444,401.0
0.3,25,2,25,2519,124.0
0.3,25,3,26,2565,389.0
0.3,25,4,26,2602,406.0
0.3,25,5,26,2524,414.0
0.3,30,1,30,2836,419.0
0.3,30,2,30,2813,430.0
0.3,30,3,30,2878,397.0
0.3,30,4,30,2781,412.0
0.3,30,5,30,2702,427.0
0.3,40,1,40,3469,494.0
0.3,40,2,40,3647,503.0
0.3,40,3,41,3669,504.0
0.3,40,4,40,3663,503.0
0.3,40,5,40,3543,501.0
0.3,50,1,50,4392,563.0
0.3,50,2,50,4379,577.0
0.3,50,3,50,4258,505.0
0.3,50,4,50,4449,534.0
0.3,50,5,50,4589,458.0
0.3,60,1,61,5191,537.0
0.3,60,2,61,5377,616.0
0.3,60,3,60,4944,608.0
0.3,60,4,60,5249,634.0
0.3,60,5,60,5501,610.0
0.3,70,1,70,6180,731.0
0.3,70,2,70,6474,704.0
0.3,70,3,70,6318,692.0
0.3,70,4,70,6916,679.0
0.3,70,5,71,7196,500.0
0.3,80,1,80,7240,727.0
0.3,80,2,80,7009,741.0
0.3,80,3,80,7787,935.0
0.3,80,4,83,7501,935.0
0.3,80,5,83,6914,954.0
0.4,25,1,25,2451,524.0
0.4,25,2,24,2461,532.0
0.4,25,3,24,2444,522.0
0.4,25,4,24,2410,529.0
0.4,25,5,24,2264,524.0
0.4,30,1,32,3169,591.0
0.4,30,2,31,3148,591.0
0.4,30,3,32,2881,577.0
0.4,30,4,31,3130,588.0
0.4,30,5,31,3027,519.0
0.4,40,1,39,3880,614.0
0.4,40,2,39,3862,645.0
0.4,40,3,39,3769,646.0
0.4,40,4,39,3375,647.0
0.4,40,5,39,3585,626.0
0.4,50,1,50,5037,738.0
0.4,50,2,51,4955,739.0
0.4,50,3,50,5041,740.0
0.4,50,4,50,5037,706.0
0.4,50,5,50,4921,738.0
0.4,60,1,61,6152,835.0
0.4,60,2,62,6219,832.0
0.4,60,3,62,6169,835.0
0.4,60,4,62,6146,831.0
0.4,60,5,62,6191,828.0
0.4,70,1,74,7208,941.0
0.4,70,2,74,7380,934.0
0.4,70,3,74,7423,930.0
0.4,70,4,73,7297,932.0
0.4,70,5,73,7338,933.0
0.4,80,1,79,7009,970.0
0.4,80,2,79,7431,978.0
0.4,80,3,79,7099,943.0
0.4,80,4,78,7749,990.0
0.4,80,5,78,6753,939.0
0.5,25,1,25,2478,520.0
0.5,25,2,25,2442,562.0
0.5,25,3,24,2449,589.0
0.5,25,4,24,2401,592.0
0.5,25,5,24,2415,590.0
0.5,30,1,31,2969,647.0
0.5,30,2,31,3037,645.0
0.5,30,3,31,3055,658.0
0.5,30,4,31,3035,654.0
0.5,30,5,31,3009,648.0
0.5,40,1,41,3695,780.0
0.5,40,2,40,3915,750.0
0.5,40,3,41,3786,751.0
0.5,40,4,41,3842,750.0
0.5,40,5,41,3933,743.0
0.5,50,1,50,4816,831.0
0.5,50,2,50,4274,827.0
0.5,50,3,50,4287,826.0
0.5,50,4,50,4600,829.0
0.5,50,5,50,4554,822.0
0.5,60,1,62,5927,942.0
0.5,60,2,63,5850,934.0
0.5,60,3,63,5906,936.0
0.5,60,4,62,5805,932.0
0.5,60,5,61,5891,927.0
0.5,70,1,73,7001,1024.0
0.5,70,2,74,7031,1038.0
0.5,70,3,74,7076,1037.0
0.5,70,4,74,7153,1024.0
0.5,70,5,74,7177,1035.0
0.5,80,1,81,7527,1109.0
0.5,80,2,82,7787,1079.0
0.5,80,3,82,7645,1090.0
0.5,80,4,83,7787,1106.0
0.5,80,5,83,7749,1111.0
0.6,25,1,24,2357,665.0
0.6,25,2,24,2389,668.0
0.6,25,3,24,2357,667.0
0.6,25,4,24,2345,658.0
0.6,25,5,23,2381,663.0
0.6,30,1,30,3002,728.0
0.6,30,2,30,3007,734.0
0.6,30,3,31,2883,744.0
0.6,30,4,31,3083,737.0
0.6,30,5,31,3094,744.0
0.6,40,1,40,3546,832.0
0.6,40,2,39,3599,834.0
0.6,40,3,39,3568,834.0
0.6,40,4,39,3610,823.0
0.6,40,5,41,3613,876.0
0.6,50,1,52,4688,948.0
0.6,50,2,52,4948,947.0
0.6,50,3,52,5077,953.0
0.6,50,4,52,5065,944.0
0.6,50,5,53,5018,952.0
0.6,60,1,60,5538,1052.0
0.6,60,2,62,5678,889.0
0.6,60,3,63,5865,1045.0
0.6,60,4,62,5683,1063.0
0.6,60,5,62,5673,1047.0
0.6,70,1,72,6288,1125.0
0.6,70,2,72,7107,1104.0
0.6,70,3,72,6787,1117.0
0.6,70,4,72,7024,1123.0
0.6,70,5,72,7001,1121.0
0.6,80,1,87,8308,1225.0
0.6,80,2,87,8160,1251.0
0.6,80,3,87,8379,1265.0
0.6,80,4,87,8182,1262.0
0.6,80,5,87,8182,1237.0
0.7,25,1,24,2434,736.0
