EC_M01,EC_M02,EC_M03,EC_25C_M01,EC_25C_M02,EC_25C_M03,Temp_M01_C,Temp_M02_C,Temp_M03_C,Mercury_Temp,EC_TrueTemp_M01,EC_TrueTemp_M02,EC_TrueTemp_M03,Temp_Error_M01,Temp_Error_M02,Temp_Error_M03
468.0,529.0,,477.55102040816325,539.795918367347,,23.89,24.1,,24.0,11461.224489795917,12955.102040816328,,-0.10999999999999943,0.10000000000000142,
366.0,1216.0,1134.0,366.0,1216.0,1134.0,21.59,22.66,23.45,25.0,9150.0,30400.0,28350.0,-3.41,-2.34,-1.5500000000000007
415.0,1311.0,1258.0,197.61904761904762,624.2857142857142,599.047619047619,79.77,78.16,79.88,80.0,15809.52380952381,49942.85714285714,47923.80952380953,-0.23000000000000398,-1.8400000000000034,-0.12000000000000455
35.0,348.0,,18.04123711340206,179.3814432989691,,72.81,67.94,,72.0,1298.9690721649486,12915.463917525774,,0.8100000000000023,-4.060000000000002,
424.0,1234.0,1187.0,326.15384615384613,949.2307692307692,913.0769230769231,39.9,39.63,39.45,40.0,13046.153846153846,37969.230769230766,36523.07692307692,-0.10000000000000142,-0.36999999999999744,-0.5499999999999972
581.0,591.0,,518.75,527.6785714285713,,31.9,31.48,,31.0,16081.25,16358.035714285712,,0.8999999999999986,0.4800000000000004,
339.0,981.0,1023.0,226.0,654.0,682.0,50.45,51.68,51.29,50.0,11300.0,32700.0,34100.0,0.45000000000000284,1.6799999999999997,1.2899999999999991
453.0,1283.0,1337.0,266.4705882352941,754.7058823529411,786.470588235294,60.0,60.86,56.64,60.0,15988.235294117645,45282.35294117647,47188.23529411764,0.0,0.8599999999999994,-3.3599999999999994
,1111.0,,,740.6666666666666,,,49.17,,50.0,,37033.33333333333,,,-0.8299999999999983,
213.0,570.0,589.0,213.0,570.0,589.0,25.55,23.93,24.49,25.0,5325.0,14250.0,14725.0,0.5500000000000007,-1.0700000000000003,-0.5100000000000016
420.0,454.0,,280.0,302.6666666666667,,51.21,44.69,,50.0,14000.0,15133.333333333334,,1.2100000000000009,-5.310000000000002,
